make,model,version,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,make_number,model_number,model_numberdos,make_model_ref,combustible_int,provincia_numero,cambio_int,prof_int,color_limpio,color_numero,km_0,km_0_int
VOLKSWAGEN,Touran,VOLKSWAGEN Touran Sport 1.6 TDI 85kW 115CV DSG 5p.,22500,Diésel,2017.0,83873,115.0,5,Automático,Blanco (Blanco Puro),20,True,Málaga,38,491,20,3820,0,32,1,1,Blanco,282,False,0
OPEL,Vivaro,OPEL Vivaro 1.6 CDTI SS 107kW L2 2.7t Tourer9 4p.,23490,Diésel,2018.0,95000,145.0,4,Manual,Negro,19,False,Madrid,23,536,28,2328,0,29,0,0,Negro,526,False,0
HYUNDAI,IONIQ,HYUNDAI IONIQ 1.6 GDI HEV Klass LE DT 5p.,22990,Híbrido,2019.0,10700,141.0,5,Automático,Gris / Plata,16,True,Madrid,35,620,28,3528,4,29,1,1,Gris / Plata,412,False,0
SEAT,Alhambra,SEAT Alhambra 2.0 TDI 110kW 150CV Eco SS Reference 5p.,26490,Diésel,2019.0,22974,150.0,5,Manual,Gris / Plata,23,True,Barcelona,27,563,14,2714,0,7,0,1,Gris / Plata,412,False,0
AUDI,A8,AUDI A8 3.0 TDI clean diesel 258CV quattro tiptr 4p.,30900,Diésel,2015.0,119000,258.0,4,Automático,Azul,30,True,Barcelona,49,696,21,4921,0,7,1,1,Azul,234,False,0
DS,DS 7 Crossback,DS DS 7 Crossback BlueHDi 132kW 180CV Auto. PERF.LINE 5p.,30400,Diésel,2018.0,37192,180.0,5,Automático,Negro,23,True,Pontevedra,55,752,6,5506,0,36,1,1,Negro,526,False,0
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d 4p.,28000,Diésel,2018.0,21000,170.0,4,Automático,Blanco,4,False,Vizcaya,56,645,24,5624,0,47,1,0,Blanco,282,False,0
AUDI,Q7,AUDI Q7 Black line ed 3.0 TDI quattro tiptronic 5p.,52400,Diésel,2017.0,29000,272.0,5,Automático,Negro,54,True,Valencia,49,734,26,4926,0,45,1,1,Negro,526,False,0
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C MercedesAMG C 63 S Estate 5p.,53900,Gasolina,2016.0,26000,510.0,5,Automático,Azul,31,True,Madrid,56,645,24,5624,1,29,1,1,Azul,234,False,0
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0L TD4 180CV 4x4 HSE 5p.,27990,Diésel,2016.0,81000,180.0,5,Automático,Gris / Plata (PLOMO),21,True,Burgos,62,729,5,6205,0,8,1,1,Gris / Plata,412,False,0
MAZDA,CX-5,MAZDA CX5 2.0 G 121kW 165CV 2WD AT Evolution 5p.,24380,Gasolina,2019.0,26000,165.0,5,Automático,Blanco,22,True,Alicante,36,588,13,3613,1,2,1,1,Blanco,282,False,0
KIA,XCeed,KIA XCeed 1.6 CRDi Tech 85kW 115CV 5p.,22900,Diésel,2019.0,11000,115.0,5,Manual,Blanco (Tela Color Package Negra),25,True,Málaga,40,680,24,4024,0,32,0,1,Blanco,282,False,0
LEXUS,NX,LEXUS NX 2.5 300h Executive Navigation 4WD 5p.,45500,Híbrido,2020.0,3800,197.0,5,Automático,Blanco (Blanco Sonic),8,True,La Rioja,54,715,15,5415,4,24,1,1,Blanco,282,True,1
LAND-ROVER,Range Rover Velar,LAND-ROVER Range Rover Velar 2.0 D240 177kW RDynamic SE 4WD Auto 5p.,61900,Diésel,2019.0,16500,240.0,5,Automático,Negro,17,True,Murcia,62,827,9,6209,0,31,1,1,Negro,526,False,0
MERCEDES-BENZ,GLA,MERCEDES-BENZ GLA GLA 180 5p.,28490,Gasolina,2020.0,6000,136.0,5,Manual,Rojo (ROJO JUPITER),29,True,Jaén,56,792,33,5633,1,23,0,1,Rojo,612,True,1
MERCEDES-BENZ,GLB,MERCEDES-BENZ GLB 2.0 GLB 250 4MATIC DCT 165KW 224CV 5p.,51900,Gasolina,2020.0,9500,224.0,5,Manual,Blanco (Blanco Polar),19,True,Valladolid,56,810,39,5639,1,46,0,1,Blanco,282,True,1
CITROEN,Berlingo,CITROEN Berlingo Talla XL BlueHDi 130 SS 6v SHINE 7 pl 5p.,24995,Diésel,2020.0,1000,130.0,5,Manual,Negro (NEGRO ONIX),17,True,Burgos,20,415,29,2029,0,8,0,1,Negro,526,True,1
AUDI,A8,AUDI A8 L 4.2 TDI 350cv quattro tiptronic 4p.,29000,Diésel,2011.0,205000,350.0,4,Automático,Negro,7,True,Pontevedra,49,696,21,4921,0,36,1,1,Negro,526,False,0
AUDI,Q5,AUDI Q5 Advanced 2.0 TDI 110kW 150CV 5p.,30900,Diésel,2018.0,20127,150.0,5,Manual,Blanco,19,True,Málaga,49,700,22,4922,0,32,0,1,Blanco,282,False,0
VOLVO,XC90,VOLVO XC90 2.0 D5 AWD Momentum Auto 5p.,35990,Diésel,2017.0,64138,235.0,5,Automático,Negro,45,True,Ciudad Real,51,747,18,5118,0,12,1,1,Negro,526,False,0
VOLKSWAGEN,Golf,VOLKSWAGEN Golf GTI 2.0 TSI 180kW 245CV DSG 5p.,41500,Gasolina,2020.0,5,245.0,5,Automático,Blanco,25,True,Barcelona,38,471,17,3817,1,7,1,1,Blanco,282,True,1
JAGUAR,i-Pace,JAGUAR iPace EV400 SE AUTO 4WD 5p.,56990,Eléctrico,2019.0,15000,400.0,5,Automático,Negro,48,True,Tenerife,57,842,11,5711,6,42,1,1,Negro,526,False,0
AUDI,Q3,AUDI Q3 Sport ed 2.0 TDI 110kW 150CV S tronic 5p.,25500,Diésel,2017.0,62000,150.0,5,Automático,Azul,21,True,Navarra,49,693,20,4920,0,33,1,1,Azul,234,False,0
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 250 d 4MATIC AMG Line 5p.,35000,Diésel,2016.0,43000,204.0,5,Automático,Blanco,5,False,Córdoba,56,795,35,5635,0,16,1,0,Blanco,282,False,0
LEXUS,RC,LEXUS RC 2.5 RC 300h Executive 2p.,29450,Híbrido,2016.0,60000,223.0,2,Automático,Rojo,30,True,Orense,54,754,18,5418,4,34,1,1,Rojo,612,False,0
OPEL,Grandland X,OPEL Grandland X 1.5 CDTi Ultimate Auto 5p.,26290,Diésel,2020.0,5,130.0,5,Automático,Blanco,24,True,Vizcaya,23,651,32,2332,0,47,1,1,Blanco,282,True,1
BMW,Serie 5,BMW Serie 5 520dA Business 4p.,47900,Diésel,2020.0,1,190.0,4,Automático,"A90 Sophistograu, efecto de brillo (metalizado)",13,True,Orense,50,593,7,5007,0,34,1,1,"A90 Sophistograu, efecto de brillo",219,True,1
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 5p.,36490,Gasolina,2021.0,10,136.0,5,Automático,Gris / Plata (GRIS MONTAÑA),8,True,Vizcaya,56,599,22,5622,1,47,1,1,Gris / Plata,412,True,1
AUDI,A5,AUDI A5 Sportback 2.0 TDI clean 190CV S line ed 5p.,22700,Diésel,2016.0,84303,190.0,5,Manual,Negro,17,True,Pontevedra,49,659,14,4914,0,36,0,1,Negro,526,False,0
SKODA,Karoq,SKODA Karoq 1.5 TSI 110kW 150CV DSG ACT Scout 5p.,31990,Gasolina,2020.0,10,150.0,5,Automático,Verde,16,True,Huesca,34,674,13,3413,1,22,1,1,Verde,668,True,1
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A Sedan A 180 d 4p.,30990,Diésel,2020.0,4500,116.0,4,Automático,Gris / Plata (GRIS MONTAÑA),11,True,Madrid,56,660,26,5626,0,29,1,1,Gris / Plata,412,True,1
VOLKSWAGEN,Golf,VOLKSWAGEN Golf GTD 2.0 TDI 135kW 184CV 5p.,23990,Diésel,2018.0,116817,184.0,5,Manual,Azul,30,True,Cádiz,38,471,17,3817,0,15,0,1,Azul,234,False,0
MERCEDES-BENZ,Clase E,MERCEDES-BENZ Clase E E 220 d 4p.,39900,Diésel,2020.0,11662,194.0,4,Manual,Gris / Plata (Plata Iridio),17,True,Córdoba,56,661,27,5627,0,16,0,1,Gris / Plata,412,False,0
JAGUAR,F-Pace,JAGUAR Fpace 2.0L i4D AWD Automatico Prestige 5p.,34800,Diésel,2016.0,68072,180.0,5,Automático,Blanco (1AA Polaris White - solida),36,True,Madrid,57,775,8,5708,0,29,1,1,Blanco,282,False,0
VOLKSWAGEN,Sharan,VOLKSWAGEN Sharan Advance 2.0 TDI 110kW150CV BMT DSG 5p.,23900,Diésel,2016.0,30842,150.0,5,Automático,Beige,17,True,Málaga,38,528,22,3822,0,32,1,1,Beige,278,False,0
BMW,Serie 7,BMW Serie 7 730LdA xDrive 4p.,32999,Diésel,2015.0,318000,265.0,4,Automático,Negro,28,True,Zaragoza,50,744,16,5016,0,49,1,1,Negro,526,False,0
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 CRDI 85kW 116CV 48V Tecno 4X2 5p.,26850,Híbrido,2019.0,293,116.0,5,Manual,Azul (STELLAR BLUE),25,True,Madrid,35,607,26,3526,4,29,0,1,Azul,234,True,1
NISSAN,QASHQAI,NISSAN QASHQAI dCi 85 kW 115 CV E6D NCONNECTA 5p.,21750,Diésel,2019.0,9637,115.0,5,Manual,Azul (Azul Ultramar),24,True,Barcelona,37,548,35,3735,0,7,0,1,Azul,234,True,1
